,selling_amount,step2,count
0,0,0,7
1,0,1,12
2,0,2,22
3,0,3,25
4,0,4,25
5,0,5,20
6,0,6,19
7,0,7,30
8,0,8,22
9,0,9,39
10,0,10,51
11,0,11,35
12,0,12,50
13,0,13,38
14,0,14,35
15,0,15,35
16,0,16,27
17,0,17,34
18,0,18,57
19,0,19,62
20,0,20,79
21,0,21,88
22,0,22,73
23,0,23,69
24,0,24,79
25,0,25,47
26,0,26,68
27,0,27,53
28,0,28,42
29,0,29,42
30,0,30,55
31,0,31,46
32,0,32,47
33,0,33,49
34,0,34,43
35,0,35,61
36,0,36,44
37,0,37,37
38,0,38,39
39,0,39,31
40,0,40,31
41,0,41,40
42,0,42,29
43,0,43,33
44,0,44,24
45,0,45,42
46,0,46,49
47,1,0,22
48,1,1,56
49,1,2,39
50,1,3,33
51,1,4,24
52,1,5,37
53,1,6,35
54,1,7,29
55,1,8,30
56,1,9,32
57,1,10,48
58,1,11,33
59,1,12,34
60,1,13,23
61,1,14,24
62,1,15,26
63,1,16,25
64,1,17,32
65,1,18,36
66,1,19,45
67,1,20,49
68,1,21,49
69,1,22,46
70,1,23,40
71,1,24,23
72,1,25,28
73,1,26,23
74,1,27,12
75,1,28,19
76,1,29,10
77,1,30,15
78,1,31,8
79,1,32,15
80,1,33,10
81,1,34,10
82,1,35,9
83,1,36,14
84,1,37,13
85,1,38,2
86,1,39,9
87,1,40,7
88,1,41,5
89,1,42,5
90,1,43,2
91,1,44,1
92,1,45,5
93,1,46,8
94,2,0,62
95,2,1,66
96,2,2,48
97,2,3,59
98,2,4,40
99,2,5,32
100,2,6,31
101,2,7,28
102,2,8,27
103,2,9,32
104,2,10,24
105,2,11,17
106,2,12,20
107,2,13,18
108,2,14,17
109,2,15,10
110,2,16,10
111,2,17,11
112,2,18,32
113,2,19,25
114,2,20,21
115,2,21,20
116,2,22,16
117,2,23,12
118,2,24,8
119,2,25,5
120,2,26,4
121,2,27,6
122,2,28,9
123,2,29,6
124,2,30,2
125,2,31,3
126,2,32,2
127,2,33,1
128,2,34,2
129,2,35,5
130,2,36,7
131,2,37,5
132,2,38,3
133,2,39,2
134,2,40,1
135,2,41,1
136,2,42,2
137,2,43,2
138,2,44,2
139,2,46,1
140,3,0,51
141,3,1,39
142,3,2,35
143,3,3,18
144,3,4,12
145,3,5,16
146,3,6,20
147,3,7,20
148,3,8,23
149,3,9,17
150,3,10,12
151,3,11,14
152,3,12,10
153,3,13,8
154,3,15,3
155,3,16,3
156,3,17,5
157,3,18,10
158,3,19,12
159,3,20,9
160,3,21,14
161,3,22,5
162,3,23,3
163,3,24,1
164,3,26,3
165,3,27,1
166,3,28,5
167,3,29,1
168,3,30,6
169,3,31,1
170,3,32,1
171,3,33,1
172,3,34,1
173,3,35,1
174,3,36,1
175,3,37,1
176,3,38,1
177,3,39,2
178,3,40,2
179,3,41,3
180,4,0,35
181,4,1,28
182,4,2,21
183,4,3,17
184,4,4,9
185,4,5,6
186,4,6,12
187,4,7,15
188,4,8,7
189,4,9,12
190,4,10,6
191,4,11,7
192,4,12,10
193,4,13,3
194,4,14,4
195,4,15,3
196,4,16,3
197,4,17,3
198,4,18,10
199,4,19,6
200,4,20,4
201,4,22,6
202,4,23,7
203,4,24,3
204,4,26,2
205,4,27,1
206,4,28,1
207,4,29,1
208,4,30,1
209,4,31,1
210,4,35,1
211,4,36,2
212,4,37,1
213,4,39,1
214,4,40,1
215,4,42,2
216,4,44,1
217,4,45,2
218,4,46,2
219,5,0,18
220,5,1,14
221,5,2,15
222,5,3,11
223,5,4,12
224,5,5,12
225,5,6,2
226,5,7,4
227,5,8,9
228,5,9,8
229,5,10,9
230,5,11,6
231,5,12,4
232,5,13,5
233,5,14,2
234,5,15,3
235,5,16,3
236,5,17,3
237,5,18,12
238,5,19,5
239,5,20,3
240,5,21,4
241,5,22,5
242,5,23,5
243,5,24,2
244,5,27,3
245,5,28,2
246,5,29,1
247,5,30,2
248,5,31,1
249,5,33,1
250,5,34,1
251,5,36,1
252,5,39,5
253,5,40,1
254,5,41,1
255,5,46,1
256,6,0,5
257,6,1,3
258,6,2,2
259,6,6,1
260,6,7,1
261,6,13,2
262,6,15,1
263,6,19,1
264,6,21,1
265,6,28,1
